Customer ID,Invoice Total,Invoice applied amount,Invoice exchange rate,Payment Total,Payment applied amount,Payment exchange rate,Credit Total,Credit applied amount,Credit exchange rate,Adjustment Total,Adjustment applied amount,Adjustment exchange rate,Customer Balance
CUST_0001,4299.15,896.09,1.0,569.43,40.71,1.0,275.24,6.69,1.0,194.34,150.52,1.0,2649.61
CUST_0002,1298.92,607.18,1.0,1066.88,70.22,1.0,389.7,217.51,1.0,58.6,23.13,1.0,-441.64
CUST_0003,3422.97,484.55,1.0,269.2,80.45,1.0,443.75,64.58,1.0,6.75,1.61,1.0,2375.64
CUST_0004,3001.64,265.74,1.0,552.22,162.93,1.0,258.67,198.85,1.0,133.86,85.5,1.0,2335.15
CUST_0005,4161.97,562.72,1.0,537.02,199.89,1.0,61.11,14.0,1.0,74.49,16.92,1.0,3272.58
CUST_0006,2542.95,101.03,1.0,1150.28,460.46,1.0,152.31,32.5,1.0,169.72,140.83,1.0,1661.18
CUST_0007,3822.84,399.8,1.0,405.4,14.14,1.0,52.28,19.49,1.0,103.75,43.26,1.0,3059.48
CUST_0008,4031.79,864.32,1.0,1672.38,614.88,1.0,154.05,142.06,1.0,56.72,8.35,1.0,2146.35
CUST_0009,1315.94,102.46,1.0,1921.63,279.11,1.0,380.08,56.19,1.0,193.07,187.71,1.0,-747.57
CUST_0010,2973.75,1014.24,1.0,1165.64,149.27,1.0,465.21,246.89,1.0,108.73,94.1,1.0,739.45
CUST_0011,3754.19,1134.09,1.0,354.88,152.76,1.0,186.26,105.27,1.0,98.63,73.26,1.0,2362.36
CUST_0012,2976.98,1125.75,1.0,1816.35,876.2,1.0,279.23,196.79,1.0,69.41,60.82,1.0,837.23
CUST_0013,3677.42,1023.58,1.0,1514.22,69.92,1.0,202.05,53.61,1.0,183.89,147.78,1.0,1097.21
CUST_0014,4813.34,753.85,1.0,779.01,233.9,1.0,479.24,17.5,1.0,57.63,4.45,1.0,3105.82
CUST_0015,2014.53,797.71,1.0,582.48,289.6,1.0,120.94,22.4,1.0,34.77,15.44,1.0,844.73
CUST_0016,1888.22,251.78,1.0,1856.62,869.44,1.0,494.83,429.8,1.0,30.67,20.31,1.0,594.59
CUST_0017,4947.57,1856.75,1.0,675.38,332.97,1.0,321.66,137.08,1.0,84.81,71.77,1.0,2576.87
CUST_0018,590.04,236.44,1.0,525.63,129.88,1.0,290.1,28.01,1.0,89.43,45.73,1.0,-260.54
CUST_0019,3765.97,1369.78,1.0,1495.41,175.31,1.0,182.19,49.44,1.0,100.72,98.02,1.0,946.04
CUST_0020,4567.93,520.89,1.0,1899.6,900.9,1.0,349.54,347.88,1.0,130.92,42.13,1.0,3135.47
CUST_0021,4275.29,795.9,1.0,1426.06,218.11,1.0,455.95,21.0,1.0,64.99,19.07,1.0,1882.41
CUST_0022,1859.71,55.54,1.0,1064.8,51.3,1.0,185.6,79.49,1.0,58.33,1.41,1.0,741.48
CUST_0023,1911.2,623.75,1.0,1280.68,63.38,1.0,194.46,90.62,1.0,42.3,14.09,1.0,-5.48
CUST_0024,2162.9,939.45,1.0,889.53,128.43,1.0,183.47,106.21,1.0,2.28,1.38,1.0,385.99
CUST_0025,740.48,349.44,1.0,109.16,24.2,1.0,69.61,26.43,1.0,118.1,60.31,1.0,320.69
CUST_0026,1409.79,350.03,1.0,1576.05,50.03,1.0,305.27,25.02,1.0,161.5,128.38,1.0,-713.39
CUST_0027,2072.89,890.15,1.0,178.24,66.14,1.0,244.11,205.04,1.0,180.29,41.15,1.0,1170.71
CUST_0028,4589.47,362.43,1.0,998.88,132.22,1.0,30.22,10.26,1.0,194.75,159.93,1.0,3375.24
CUST_0029,4138.98,1593.82,1.0,1386.97,491.38,1.0,225.26,6.03,1.0,198.8,112.79,1.0,1516.35
CUST_0030,1618.48,701.79,1.0,1965.62,511.91,1.0,497.48,270.31,1.0,54.35,25.63,1.0,-735.47
CUST_0031,3159.31,136.51,1.0,1197.3,343.89,1.0,155.93,71.73,1.0,36.85,25.13,1.0,2096.91
CUST_0032,2828.55,1218.0,1.0,319.01,104.11,1.0,89.07,11.18,1.0,16.72,16.6,1.0,1317.88
CUST_0033,4536.71,1301.68,1.0,1453.85,673.44,1.0,429.5,310.04,1.0,125.29,75.2,1.0,2385.25
CUST_0034,3957.63,710.92,1.0,1579.65,172.09,1.0,142.4,116.89,1.0,48.14,10.52,1.0,1851.26
CUST_0035,4721.72,719.04,1.0,1155.87,352.53,1.0,409.37,357.04,1.0,12.7,8.59,1.0,3151.12
CUST_0036,2267.01,151.37,1.0,1290.0,118.07,1.0,252.21,71.01,1.0,22.36,6.13,1.0,778.74
CUST_0037,4055.16,1263.96,1.0,596.75,203.81,1.0,429.9,83.55,1.0,179.11,72.54,1.0,2158.48
CUST_0038,1726.89,566.55,1.0,953.11,324.07,1.0,193.6,118.83,1.0,171.68,96.51,1.0,531.7
CUST_0039,1435.6,116.34,1.0,553.21,194.48,1.0,387.45,334.01,1.0,54.33,50.54,1.0,910.88
CUST_0040,1080.63,289.62,1.0,666.43,120.19,1.0,266.79,176.91,1.0,16.12,2.43,1.0,168.58
CUST_0041,3253.24,1500.55,1.0,300.82,89.3,1.0,210.81,150.8,1.0,6.59,0.72,1.0,1487.03
